home,score,away,total_goals,year
Qatar ,0–2, Ecuador,2,2022
Senegal ,0–2, Netherlands,2,2022
Qatar ,1–3, Senegal,4,2022
Netherlands ,1–1, Ecuador,2,2022
Ecuador ,1–2, Senegal,3,2022
Netherlands ,2–0, Qatar,2,2022
England ,6–2, Iran,8,2022
United States ,1–1, Wales,2,2022
Wales ,0–2, Iran,2,2022
England ,0–0, United States,0,2022
Wales ,0–3, England,3,2022
Iran ,0–1, United States,1,2022
Argentina ,1–2, Saudi Arabia,3,2022
Mexico ,0–0, Poland,0,2022
Poland ,2–0, Saudi Arabia,2,2022
Argentina ,2–0, Mexico,2,2022
Poland ,0–2, Argentina,2,2022
Saudi Arabia ,1–2, Mexico,3,2022
Denmark ,0–0, Tunisia,0,2022
France ,4–1, Australia,5,2022
Tunisia ,0–1, Australia,1,2022
France ,2–1, Denmark,3,2022
Australia ,1–0, Denmark,1,2022
Tunisia ,1–0, France,1,2022
Germany ,1–2, Japan,3,2022
Spain ,7–0, Costa Rica,7,2022
Japan ,0–1, Costa Rica,1,2022
Spain ,1–1, Germany,2,2022
Japan ,2–1, Spain,3,2022
Costa Rica ,2–4, Germany,6,2022
Morocco ,0–0, Croatia,0,2022
Belgium ,1–0, Canada,1,2022
Belgium ,0–2, Morocco,2,2022
Croatia ,4–1, Canada,5,2022
Croatia ,0–0, Belgium,0,2022
Canada ,1–2, Morocco,3,2022
Switzerland ,1–0, Cameroon,1,2022
Brazil ,2–0, Serbia,2,2022
Cameroon ,3–3, Serbia,6,2022
Brazil ,1–0, Switzerland,1,2022
Serbia ,2–3, Switzerland,5,2022
Cameroon ,1–0, Brazil,1,2022
Uruguay ,0–0, South Korea,0,2022
Portugal ,3–2, Ghana,5,2022
South Korea ,2–3, Ghana,5,2022
Portugal ,2–0, Uruguay,2,2022
Ghana ,0–2, Uruguay,2,2022
South Korea ,2–1, Portugal,3,2022
Netherlands ,3–1, United States,4,2022
Argentina ,2–1, Australia,3,2022
France ,3–1, Poland,4,2022
England ,3–0, Senegal,3,2022
Japan ,1–1, Croatia,2,2022
Brazil ,4–1, South Korea,5,2022
Morocco ,0–0, Spain,0,2022
Portugal ,6–1, Switzerland,7,2022
Croatia ,1–1, Brazil,2,2022
Netherlands ,2–2, Argentina,4,2022
Morocco ,1–0, Portugal,1,2022
England ,1–2, France,3,2022
Argentina ,3–0, Croatia,3,2022
France ,2–0, Morocco,2,2022
Croatia ,2–1, Morocco,3,2022
Argentina ,3–3 (a.e.t.), France,6,2022
