home,score,away,total_goals,year
France ,4–1, Mexico,5,1930
Argentina ,1–0, France,1,1930
Chile ,3–0, Mexico,3,1930
Chile ,1–0, France,1,1930
Argentina ,6–3, Mexico,9,1930
Argentina ,3–1, Chile,4,1930
Yugoslavia ,2–1, Brazil,3,1930
Yugoslavia ,4–0, Bolivia,4,1930
Brazil ,4–0, Bolivia,4,1930
Romania ,3–1, Peru,4,1930
Uruguay ,1–0, Peru,1,1930
Uruguay ,4–0, Romania,4,1930
United States ,3–0, Belgium,3,1930
United States ,3–0, Paraguay,3,1930
Paraguay ,1–0, Belgium,1,1930
Argentina ,6–1, United States,7,1930
Uruguay ,6–1, Yugoslavia,7,1930
Uruguay ,4–2, Argentina,6,1930
Spain ,3–1, Brazil,4,1934
Hungary ,4–2, Egypt,6,1934
Switzerland ,3–2, Netherlands,5,1934
Italy ,7–1, United States,8,1934
Czechoslovakia ,2–1, Romania,3,1934
Sweden ,3–2, Argentina,5,1934
Austria ,3–2 (a.e.t.), France,5,1934
Germany ,5–2, Belgium,7,1934
Austria ,2–1, Hungary,3,1934
Italy ,1–1 (a.e.t.), Spain,2,1934
Germany ,2–1, Sweden,3,1934
Czechoslovakia ,3–2, Switzerland,5,1934
Italy ,1–0, Spain,1,1934
Italy ,1–0, Austria,1,1934
Czechoslovakia ,3–1, Germany,4,1934
Germany ,3–2, Austria,5,1934
Italy ,2–1 (a.e.t.), Czechoslovakia,3,1934
Switzerland ,1–1 (a.e.t.), Germany,2,1938
Hungary ,6–0, Dutch East Indies,6,1938
Sweden ,w/o[a], Austria,0,1938
Cuba ,3–3 (a.e.t.), Romania,6,1938
France ,3–1, Belgium,4,1938
Italy ,2–1 (a.e.t.), Norway,3,1938
Brazil ,6–5 (a.e.t.), Poland,11,1938
Czechoslovakia ,3–0 (a.e.t.), Netherlands,3,1938
Switzerland ,4–2, Germany,6,1938
Cuba ,2–1, Romania,3,1938
Hungary ,2–0, Switzerland,2,1938
Sweden ,8–0, Cuba,8,1938
Italy ,3–1, France,4,1938
Brazil ,1–1 (a.e.t.), Czechoslovakia,2,1938
Brazil ,2–1, Czechoslovakia,3,1938
Hungary ,5–1, Sweden,6,1938
Italy ,2–1, Brazil,3,1938
